Capital,Number of Nodes,Number of Edges,Average Node Degree,Total Length (m),Average Edge Length (m),Betweenness Centrality (Nodes),Betweenness Centrality (Edges),Orientation Entropy,Proportion of Dead-ends,Proportion of k=4 Intersections,Detour Index
Puigcerdà,426,941,4.417840375586854,51818.30193657705,55.06727092091079,0.03953542751142447,0.018876749484425092,3.545540376434644,0.0,0.18544600938967137,1.064712939301447
Banyoles,888,1824,4.108108108108108,102103.470204949,55.97777971762555,0.026117860322931844,0.013229953004909657,3.4577495537948986,0.006756756756756757,0.25225225225225223,1.0563100439968611
La Bisbal d'Empordà,299,754,5.043478260869565,39152.429048721046,51.926298473104836,0.04119551405807606,0.017539862966336646,3.4370168334418545,0.0033444816053511705,0.13043478260869565,1.045427946238435
Santa Coloma de Farners,557,1218,4.373429084380611,104498.52752977803,85.79517859587688,0.044836776510181094,0.021229588836470248,3.462053921392677,0.012567324955116697,0.1813285457809695,1.1142663701765432
Blanes,1023,2054,4.01564027370479,106761.85686397902,51.97753498733156,0.02519806084345368,0.01300611267777057,3.5658131225274103,0.007820136852394917,0.25317693059628543,1.0759601355922508
Figueres,1213,2376,3.9175597691673536,134082.0675474644,56.431846610885685,0.023383739439199695,0.012334257894507993,3.455778927101757,0.006595218466611707,0.24649629018961253,1.0435163696512733
Vielha e Mijaran,388,801,4.128865979381444,73830.31345311282,92.17267597142674,0.06419741430915295,0.032181803500306416,3.525026972826206,0.002577319587628866,0.17268041237113402,1.383320406047957
Berga,526,1064,4.0456273764258555,81881.6670707445,76.95645401385761,0.0364563456358075,0.01888501127887614,3.509719535823355,0.0,0.20532319391634982,1.1786711749400105
Sant Feliu de Llobregat,445,898,4.035955056179775,55273.69274690755,61.55199637740262,0.036778518950634546,0.019229779440359772,3.2911296792105165,0.011235955056179775,0.2606741573033708,1.040349343825545
Granollers,1012,2044,4.0395256916996045,136761.01068225197,66.90851794630723,0.023233146111669618,0.011948898950112195,3.2350722811351926,0.01383399209486166,0.24209486166007904,1.043201428454195
Móra d'Ebre,410,964,4.702439024390244,68224.70719069295,70.77251783266904,0.03519601412035983,0.015918488695179242,3.474116680981285,0.0,0.14390243902439023,1.0692083744078822
Prats de Lluçanès,153,392,5.124183006535947,20213.616719884798,51.56534877521632,0.06185628660666076,0.026378314483688197,3.339584993786184,0.0,0.0915032679738562,1.1214920485036215
Moià,326,841,5.159509202453988,57847.44116617872,68.78411553647886,0.04026730521618047,0.01667707211633146,3.5278749939644265,0.003067484662576687,0.0950920245398773,1.1286003992349036
