Capital,Number of Nodes,Average Node Degree,Total Length (m),Average Street Length (m),Average Betweenness Centrality (Nodes),Average Betweenness Centrality (Edges),Orientation Entropy,Normalized Measure of Orientation-Order,Proportion of Dead-ends,Proportion of k=4 Intersections,Detour Index,Cluster
Valls,1231,4.092607636068237,165571.93713750568,96.43094766307844,0.0217254004301449,0.0109882915375956,3.537066247186412,0.0418305533002428,0.1413484971567831,0.1007311129163281,1.0784338473495576,4
Balaguer,672,4.276785714285714,111340.80260359596,113.72911399754436,0.0284488941549438,0.013959130820163,3.484765294501095,0.0878579129254082,0.0997023809523809,0.1086309523809523,1.0566699914314104,3
Cervera,654,4.617737003058104,121495.92374139918,128.29559001203714,0.0294904271453466,0.0133908127737148,3.5085247474351458,0.0670888751209668,0.0963302752293578,0.1162079510703364,1.065233926772505,5
Solsona,585,4.355555555555555,67920.43770136,81.34184155851497,0.0318771898960578,0.015364378709253,3.557999454008867,0.0230908656813544,0.1128205128205128,0.0991452991452991,1.091869658956748,4
la Seu d'Urgell,483,4.140786749482402,55277.18067961883,78.51872255627676,0.0379154036920589,0.0192331769799747,3.4154980845888003,0.1470726545342321,0.1118012422360248,0.1614906832298136,1.072232448919791,3
Sort,389,4.442159383033419,63737.26736338137,127.72999471619512,0.0728404413137843,0.0337660567157542,3.547796929132977,0.0322469737933595,0.2313624678663239,0.0591259640102827,1.3260662174587243,1
Tremp,226,4.150442477876106,28660.13686063087,90.12621654286436,0.0587581647703329,0.030195797246385,3.49941190794857,0.0750823925193775,0.1371681415929203,0.1327433628318584,1.1611565679004336,4
el Pont de Suert,189,4.9523809523809526,74928.29649465354,312.20123539438976,0.0724604047507677,0.0310899480521229,3.501216920688732,0.0735018194252117,0.2486772486772486,0.0582010582010582,1.3704103881829537,2
Mollerussa,571,4.112084063047285,57859.78258429247,67.4356440376369,0.0332572503098533,0.0169615776194499,3.406548433028848,0.15457852189242,0.0595446584938704,0.1611208406304728,1.0239263626455355,3
les Borges Blanques,456,4.504385964912281,78329.7530603194,117.43591163466178,0.0319320412179211,0.0150622511638244,3.466513763821497,0.1036534868509918,0.0855263157894736,0.1140350877192982,1.0522820715185632,5
Tàrrega,943,4.256627783669141,126662.49707137808,91.98438422031812,0.0278046617060636,0.0135143844791468,3.4952705245855267,0.0787037266918527,0.11983032873807,0.1527041357370095,1.05544763906933,3
Olot,1395,4.5347670250896055,168018.5318903554,81.7608427690294,0.0206054179226841,0.0093847909049028,3.526976065738855,0.050798597038853,0.1096774193548387,0.182078853046595,1.0627826013129975,4
Ripoll,453,4.370860927152318,60080.93934518965,95.21543477843052,0.0479369225104184,0.0228435777020433,3.5403095509796274,0.038938985086162,0.1501103752759381,0.0927152317880794,1.1521500277407448,4
Puigcerdà,426,4.417840375586854,51818.30193657699,86.22013633373875,0.0395354275114244,0.018876749484425,3.552360138887744,0.0281571161473539,0.1314553990610328,0.1173708920187793,1.0647129393014454,4
Banyoles,888,4.108108108108108,102103.470204949,76.13979881055108,0.0261178603229318,0.0132299530049096,3.4606979818930395,0.1086577025432753,0.0833333333333333,0.2139639639639639,1.0563100439968611,3
la Bisbal d'Empordà,299,5.043478260869565,39152.429048721046,91.05216057842104,0.041195514058076,0.0175398629663366,3.457093783955264,0.1117519202378777,0.1103678929765886,0.157190635451505,1.045427946238435,5
Santa Coloma de Farners,557,4.373429084380611,104498.5275297779,128.0619209923749,0.044836776510181,0.0212295888364703,3.4773450183931334,0.0942963472393473,0.1166965888689407,0.1741472172351885,1.1142663701765418,5
Figueres,1213,3.9175597691673536,134082.06754746434,73.99672601957192,0.0233837394391997,0.0123342578945079,3.463043191211523,0.1066414421037874,0.0634789777411376,0.1508656224237428,1.0435163696512728,3
Vielha e Mijaran,388,4.128865979381444,73830.31345311282,146.7799472228883,0.064197414309153,0.0321818035003064,3.527182455768375,0.0506155822435323,0.2139175257731958,0.0257731958762886,1.383320406047957,1
Berga,526,4.045627376425856,81881.66707074446,110.80063203077736,0.0364563456358075,0.0188850112788761,3.518948365095382,0.0579034117272196,0.1254752851711026,0.1045627376425855,1.1786711749400098,4
Sant Feliu de Llobregat,445,4.035955056179775,55273.69274690751,82.1303012584064,0.0367785189506345,0.0192297794403597,3.34731056325219,0.2034235154320037,0.049438202247191,0.2022471910112359,1.0403493438255442,3
Granollers,1012,4.0395256916996045,136761.01068225218,90.15228126714052,0.0232331461116696,0.0119488989501122,3.258825492838658,0.2736777113753542,0.058300395256917,0.1887351778656126,1.0432014284541966,3
Móra d'Ebre,410,4.702439024390244,68224.70719069288,117.4263462834645,0.0351960141203598,0.0159184886951792,3.5021315749745505,0.072700380344724,0.1439024390243902,0.148780487804878,1.069208374407881,5
Prats de Lluçanès,153,5.124183006535947,20213.6167198848,93.15030746490692,0.0618562866066607,0.0263783144836882,3.385557588093902,0.1720529179200267,0.130718954248366,0.130718954248366,1.1214920485036215,5
Moià,326,5.159509202453988,57847.44116617872,128.26483628864463,0.0402673052161804,0.0166770721163315,3.52846623282086,0.0494768065168562,0.1717791411042944,0.1196319018404908,1.1286003992349036,5
